Time,In,Out,Total People Inside,People limit exceeded
2020-11-30 02:37:26.452706,1,0,[1],No
2020-11-30 02:37:31.517218,1,0,[1],No
2020-11-30 02:37:35.062708,1,0,[1],No
2020-11-30 02:38:01.960607,4,0,[4],Yes
2020-11-30 02:38:12.823506,5,1,[4],Yes
2020-11-30 02:38:33.795907,7,1,[6],Yes
2020-12-01 01:43:26.608409,0,0,[],No
2020-12-01 02:04:12.129608,4,0,[4],Yes
2020-12-01 02:04:27.744906,5,1,[4],Yes
2020-12-01 02:04:32.025505,5,1,[4],Yes
2020-12-01 02:04:44.077706,7,1,[6],Yes
2020-12-02 02:51:06.109508,1,0,[1],No
